0,1,2
0.780510,-0.063669,1
0.287740,0.291390,1
0.407140,0.178780,1
0.292300,0.421700,1
0.509220,0.352560,1
0.277850,0.108020,1
0.275270,0.332230,1
0.439990,0.312450,1
0.335570,0.429840,1
0.234480,0.249860,1
0.008449,0.136580,1
0.124190,0.335950,1
0.256440,0.426240,1
0.459100,0.404260,1
0.445470,0.451170,1
0.422180,0.201180,1
0.495630,0.214450,1
0.308480,0.243060,1
0.397070,0.444380,1
0.329450,0.392170,1
0.407390,0.402710,1
0.310600,0.507020,1
0.496380,0.453840,1
0.100730,0.320530,1
0.699070,0.373070,1
0.297670,0.696480,1
0.150990,0.573410,1
0.164270,0.277590,1
0.332590,0.055964,1
0.537410,0.286370,1
0.195030,0.368790,1
0.402780,0.035148,1
0.212960,0.551690,1
0.484470,0.569910,1
0.254760,0.345960,1
0.217260,0.286410,1
0.670780,0.465380,1
0.381500,0.462200,1
0.538380,0.327740,1
0.484900,0.260710,1
0.370950,0.388090,1
0.545270,0.639110,1
0.321490,0.120070,1
0.422160,0.616660,1
0.101940,0.060408,1
0.152540,0.216800,1
0.455580,0.437690,1
0.284880,0.521420,1
0.276330,0.212640,1
0.397480,0.319020,1
0.553300,1.000000,0
0.442740,0.592050,0
0.851760,0.661200,0
0.604360,0.866050,0
0.682430,0.483010,0
1.000000,0.768150,0
0.729890,0.810700,0
0.673770,0.779750,0
0.787610,0.581770,0
0.714420,0.766800,0
0.493790,0.542260,0
0.789740,0.742330,0
0.679050,0.609210,0
0.664200,0.725190,0
0.793960,0.567890,0
0.707580,0.760220,0
0.594210,0.618570,0
0.493640,0.562240,0
0.777070,0.350250,0
0.797850,0.769210,0
0.708760,0.967640,0
0.691760,0.608650,0
0.664080,0.920750,0
0.659730,0.666660,0
0.645740,0.568450,0
0.896390,0.708500,0
0.854760,0.631670,0
0.620910,0.804240,0
0.790570,0.561080,0
0.589350,0.715820,0
0.568460,0.740600,0
0.659120,0.715480,0
0.709380,0.740410,0
0.591540,0.629270,0
0.458290,0.464100,0
0.799820,0.748470,0
0.609740,0.547570,0
0.681270,0.869850,0
0.766940,0.647360,0
0.690480,0.830580,0
0.681220,0.965410,0
0.732290,0.642450,0
0.761450,0.601380,0
0.589850,0.869550,0
0.731450,0.745160,0
0.770290,0.701400,0
0.731560,0.717820,0
0.445560,0.579910,0
0.852750,0.859870,0
0.519120,0.623590,0